"","subject","itemID","pres.order","Item","Itemtype","Length","ColFreq","AdjFreq","NounFreq","MIScore","answer","res","RT"
"1",2,1,87,"thick fog","JE",9,145,29284,7176,14.24,TRUE,1,1273
"2",2,2,61,"stupid idea","JE",11,112,17762,126766,12.13,TRUE,1,1012
"3",2,3,31,"thin lips ","JE",9,266,30704,25883,14.18,TRUE,1,1265
"4",2,4,121,"deep love","JE",9,140,72697,192472,11.53,TRUE,1,930
"5",2,5,43,"small room","JE",10,1010,218756,212579,11.35,TRUE,1,1016
"6",2,6,98,"long sleep","JE",10,82,339087,49735,10.71,TRUE,1,771
"7",2,7,26,"cold tea","JE",8,37,70610,26082,12.98,TRUE,1,1031
"8",2,8,101,"broken window","JE",13,249,35921,64072,13.12,TRUE,1,1080
"9",2,9,99,"final year","JE",10,620,72740,440005,10.34,TRUE,1,1023
"10",2,10,25,"front tire","JE",10,139,133697,6860,12.06,TRUE,1,2434
"11",2,11,18,"famous person","JE",13,234,34411,145013,11.94,TRUE,1,876
"12",2,12,71,"good news","JE",9,10360,510181,181545,10.13,TRUE,1,860
"13",2,13,57,"economic growth","JE",15,6627,117932,71125,12.24,TRUE,1,913
"14",2,14,23,"black hole","JE",10,2889,216065,29176,11.36,TRUE,1,976
"15",2,15,133,"near future","JE",11,2422,94759,124902,12.16,TRUE,1,895
"16",2,16,130,"tragic deaths","JE",13,49,8449,16097,15.11,TRUE,1,1185
"17",2,17,134,"beautiful woman","JE",15,1386,57918,198046,11.49,TRUE,1,1526
"18",2,18,136,"handsome man","JE",12,606,10463,370606,10.59,TRUE,1,905
"19",2,19,112,"bitter experience","JE",17,97,11204,124320,12.16,TRUE,1,1868
"20",2,20,106,"big eyes","JE",8,321,258911,179554,11.1,TRUE,0,1202
"21",2,21,109,"high price","JE",10,971,259029,75118,11.1,TRUE,1,1007
"22",2,22,21,"strong wind","JE",11,238,93096,47843,12.58,TRUE,1,1495
"23",2,23,56,"clean water","JE",11,1797,44428,220809,11.33,TRUE,1,999
"24",2,24,19,"bad debt","Eonly",8,203,123592,28828,12.17,TRUE,0,1370
"25",2,25,45,"bare feet","Eonly",9,1552,13042,110485,12.33,TRUE,1,1698
"26",2,26,47,"brief moment","Eonly",12,656,24617,129776,12.1,TRUE,1,1201
"27",2,27,1,"broad daylight","Eonly",14,597,26590,4899,14.39,TRUE,0,1768
"28",2,28,78,"busy road","Eonly",9,77,25295,97495,12.51,TRUE,0,931
"29",2,29,84,"careful attention","Eonly",17,396,24911,91677,12.6,TRUE,1,1004
"30",2,30,34,"coming months","Eonly",13,938,152132,144499,11.87,TRUE,1,1273
"31",2,31,35,"early bird","Eonly",10,178,176207,25214,11.66,TRUE,1,808
"32",2,32,80,"easy decision","Eonly",13,217,80870,79176,12.78,TRUE,0,1170
"33",2,33,9,"false teeth","Eonly",11,200,19156,24757,14.49,TRUE,0,1993
"34",2,34,73,"flat rate","Eonly",9,125,27148,73988,12.91,TRUE,0,1360
"35",2,35,60,"free speech","Eonly",11,3214,130555,50367,12.09,TRUE,1,795
"36",2,36,54,"full understanding","Eonly",18,198,113335,58879,12.29,TRUE,1,1049
"37",2,37,62,"hard luck","Eonly",9,93,168160,20336,11.73,TRUE,0,1126
"38",2,38,68,"low speed","Eonly",9,501,90992,39633,12.6,TRUE,0,846
"39",2,39,3,"lucky guess","Eonly",11,30,22698,59459,13.23,TRUE,0,1607
"40",2,40,117,"open arms","Eonly",9,473,161824,65970,11.78,TRUE,0,1268
"41",2,41,135,"poor health","Eonly",11,642,66988,198218,11.49,TRUE,1,1811
"42",2,42,6,"proud parents","Eonly",13,110,24917,139186,12,TRUE,1,1657
"43",2,43,5,"quick look","Eonly",10,1038,42727,360912,10.62,TRUE,0,1281
"44",2,44,2,"sharp rise","Eonly",10,172,24334,41594,13.74,TRUE,0,892
"45",2,45,139,"short notice","Eonly",12,516,90547,29744,12.61,TRUE,1,1235
"46",2,46,131,"slow learner","Eonly",12,68,38788,3270,13.84,TRUE,0,822
"47",2,47,85,"active personality","Jonly",18,0,37799,18372,0,FALSE,0,1675
"48",2,48,126,"cheap pay","Jonly",9,0,16483,111661,0,FALSE,0,1143
"49",2,49,15,"dark society","Jonly",12,0,84962,94963,0,FALSE,0,1346
"50",2,50,70,"delicious season","Jonly",16,0,7916,114909,0,FALSE,1,1255
"51",2,51,32,"far eye","Jonly",7,0,191270,59867,0,FALSE,1,1988
"52",2,52,7,"frank question","Jonly",14,6,36780,178198,0,FALSE,0,1319
"53",2,53,46,"hot battle","Jonly",10,1,70927,40461,0,FALSE,0,1586
"54",2,54,128,"light content","Jonly",13,1,138049,42635,0,FALSE,1,1075
"55",2,55,42,"narrow thought","Jonly",14,0,23315,257709,0,FALSE,0,1385
"56",2,56,122,"pretty animal","Jonly",13,2,95141,35105,0,FALSE,0,1196
"57",2,57,8,"quiet war","Jonly",9,12,37210,210234,0,FALSE,1,1312
"58",2,58,81,"severe home","Jonly",11,0,21417,332004,0,FALSE,1,1246
"59",2,59,10,"shallow injury","Jonly",14,0,8449,20990,0,FALSE,1,1875
"60",2,60,39,"silent force","Jonly",12,2,23400,96107,0,FALSE,0,1748
"61",2,61,55,"slim branch","Jonly",11,0,6289,16595,0,FALSE,1,1663
"62",2,62,65,"soft atmosphere","Jonly",15,0,34984,19918,0,FALSE,1,1255
"63",2,63,103,"straight heart","Jonly",14,0,50686,107598,0,FALSE,1,1566
"64",2,64,86,"sweet judgment","Jonly",14,1,34585,812,0,FALSE,1,1157
"65",2,65,27,"tall danger","Jonly",11,0,29890,24508,0,FALSE,1,1482
"66",2,66,108,"warm gift","Jonly",9,0,40333,26244,0,FALSE,0,1173
"67",2,67,97,"weak rain ","Jonly",9,0,19839,33229,0,FALSE,0,1244
"68",2,68,89,"wide market","Jonly",11,5,51059,115892,0,FALSE,1,1421
"69",2,69,48,"yellow voice","Jonly",12,0,32244,111534,0,FALSE,1,964
"70",2,70,118,"active gift","Baseline",11,0,37799,26244,0,FALSE,1,1212
"71",2,71,120,"bad lips","Baseline",8,0,123592,25883,0,FALSE,0,1428
"72",2,72,119,"bare growth","Baseline",11,0,13042,71125,0,FALSE,1,1099
"73",2,73,13,"beautiful understanding","Baseline",23,0,57918,58879,0,FALSE,1,1634
"74",2,74,96,"big atmosphere","Baseline",14,1,258911,19918,0,FALSE,1,1817
"75",2,75,12,"bitter hole","Baseline",11,0,11204,29176,0,FALSE,1,1374
"76",2,76,94,"black news","Baseline",10,5,216065,181545,0,FALSE,0,999
"77",2,77,72,"brief decision","Baseline",14,0,24617,79176,0,FALSE,0,1369
"78",2,78,113,"broad water","Baseline",11,5,26590,220809,0,FALSE,1,1153
"79",2,79,49,"broken attention","Baseline",16,0,35921,91677,0,FALSE,1,1359
"80",2,80,64,"busy content","Baseline",12,0,25295,42635,0,FALSE,1,1138
"81",2,81,17,"careful weather","Baseline",15,0,24911,36103,0,FALSE,1,1455
"82",2,82,107,"cheap notice","Baseline",12,0,16483,29744,0,FALSE,1,1982
"83",2,83,16,"clean price","Baseline",11,0,44428,75118,0,FALSE,0,1540
"84",2,84,125,"cold love","Baseline",9,0,70610,192472,0,FALSE,1,900
"85",2,85,66,"coming judgement","Baseline",15,0,152132,812,0,FALSE,0,912
"86",2,86,28,"dark months","Baseline",11,20,84962,144499,0,FALSE,1,1441
"87",2,87,104,"deep room","Baseline",9,1,72697,212579,0,FALSE,1,1200
"88",2,88,82,"delicious person","Baseline",16,1,7916,145013,0,FALSE,1,1040
"89",2,89,105,"early guess","Baseline",11,3,176207,59459,0,FALSE,1,1131
"90",2,90,24,"easy market","Baseline",11,2,80870,115892,0,FALSE,1,1251
"91",2,91,124,"economic stone","Baseline",14,0,117932,39391,0,FALSE,1,1148
"92",2,92,123,"false tire","Baseline",10,0,19156,6860,0,FALSE,1,1071
"93",2,93,129,"famous eye","Baseline",10,2,34411,59867,0,FALSE,1,844
"94",2,94,69,"far home","Baseline",8,0,191270,332004,0,FALSE,0,1185
"95",2,95,30,"final heart","Baseline",11,5,72740,107598,0,FALSE,1,1254
"96",2,96,137,"flat bird","Baseline",9,0,27148,25214,0,FALSE,1,840
"97",2,97,33,"frank animal","Baseline",12,0,36780,35105,0,FALSE,1,1424
"98",2,98,93,"free voice","Baseline",10,10,130555,111534,0,FALSE,1,1711
"99",2,99,59,"front future","Baseline",12,0,133697,124902,0,FALSE,1,1319
"100",2,100,74,"full question","Baseline",13,3,113335,178198,0,FALSE,0,775
"101",2,101,63,"good moment","Baseline",11,104,510181,129776,0,FALSE,0,806
"102",2,102,77,"handsome branch","Baseline",15,0,10463,370606,0,FALSE,1,1517
"103",2,103,102,"hard injury","Baseline",11,0,168160,20990,0,FALSE,0,1693
"104",2,104,75,"heavy season","Baseline",12,1,48286,114909,0,FALSE,1,973
"105",2,105,11,"hot parents","Baseline",11,0,70927,139186,0,FALSE,1,1564
"106",2,106,36,"light window","Baseline",12,1,138049,64072,0,FALSE,1,1604
"107",2,107,91,"long energy","Baseline",11,0,339087,88014,0,FALSE,1,1243
"108",2,108,114,"low thought","Baseline",11,0,90992,257709,0,FALSE,1,1250
"109",2,109,22,"lucky tea","Baseline",9,0,22698,26082,0,FALSE,1,1037
"110",2,110,41,"narrow force","Baseline",12,0,23315,96107,0,FALSE,1,1194
"111",2,111,53,"near feet","Baseline",9,0,94759,110485,0,FALSE,1,1564
"112",2,112,76,"open teeth","Baseline",10,1,161824,24757,0,FALSE,1,1053
"113",2,113,40,"poor war","Baseline",8,1,210234,210234,0,FALSE,1,1516
"114",2,114,44,"pretty arms","Baseline",11,3,95141,65970,0,FALSE,1,1493
