subject,itemID,order,condition,word,JP,rating,RaterA,RaterB,Agreement,Final
1,1,54,1,thick fog,,4,0,0,TRUE,0
1,2,58,1,stupid idea,愚かな考え,2,1,1,TRUE,1
1,3,53,1,thin lips ,薄い唇,2,1,1,TRUE,1
1,4,36,1,deep love,深い愛,1,1,1,TRUE,1
1,5,52,1,small room,小さい部屋,2,1,1,TRUE,1
1,6,1,1,long sleep,長い眠り,1,1,1,TRUE,1
1,7,44,1,cold tea,冷たいお茶,1,1,1,TRUE,1
1,8,11,1,broken window,壊れた窓,1,1,1,TRUE,1
1,9,49,1,final year,最後の年,2,1,1,TRUE,1
1,10,64,1,front tire,,4,0,0,TRUE,0
1,11,51,1,famous person,有名人,1,1,1,TRUE,1
1,12,27,1,good news,良い知らせ,1,1,1,TRUE,1
1,13,63,1,economic growth,経済成長,1,1,1,TRUE,1
1,14,14,1,black hole,ブラックホール,1,1,1,TRUE,1
1,15,60,1,near future,近未来,2,1,1,TRUE,1
1,16,38,1,tragic deaths,,4,0,0,TRUE,0
1,17,25,1,beautiful woman,美しい女性,1,1,1,TRUE,1
1,18,65,1,handsome man,ハンサムな男性,2,1,1,TRUE,1
1,19,45,1,bitter experience,苦い経験,2,1,1,TRUE,1
1,20,24,1,big eyes,大きい目,1,1,1,TRUE,1
1,21,8,1,high price,高値,1,1,1,TRUE,1
1,22,17,1,strong wind,強い風,2,1,1,TRUE,1
1,23,10,1,clean water,きれいな水,1,1,1,TRUE,1
1,24,37,2,bad debt,悪い疑念,2,0,0,TRUE,0
1,25,4,2,bare feet,クマの足,2,0,0,TRUE,0
1,26,18,2,brief moment,短期間,2,1,0,FALSE,0
1,27,68,2,broad daylight,,4,0,0,TRUE,0
1,28,46,2,busy road,,4,0,0,TRUE,0
1,29,34,2,careful attention,注意深い警戒,4,1,0,FALSE,1
1,30,7,2,coming months,来た月,1,0,0,TRUE,0
1,31,30,2,early bird,早い鳥,3,0,0,TRUE,0
1,32,29,2,easy decision,簡単な決断,2,1,1,TRUE,1
1,33,19,2,false teeth,,4,0,0,TRUE,0
1,34,33,2,flat rate,,4,0,0,TRUE,0
1,35,39,2,free speech,自由な話,2,0,0,TRUE,0
1,36,31,2,full understanding,完全な理解,3,1,1,TRUE,1
1,37,22,2,hard luck,不運,1,1,1,TRUE,1
1,38,67,2,low speed,低速度,2,1,1,TRUE,1
1,39,56,2,lucky guess,楽観的な推測,3,0,0,TRUE,0
1,40,50,2,open arms,公開された兵器,4,0,0,TRUE,0
1,41,20,2,poor health,健康不良,3,1,1,TRUE,1
1,42,32,2,proud parents,誇らしい両親,3,1,1,TRUE,1
1,43,6,2,quick look,素早く見る,2,1,1,TRUE,1
1,44,26,2,sharp rise,,4,0,0,TRUE,0
1,45,55,2,short notice,,4,0,0,TRUE,0
1,46,42,2,slow learner,遅い学習者,4,0,1,FALSE,0
1,47,21,3,active personality,積極的人格,3,,,,
1,48,62,3,cheap pay,安い買取,4,,,,
1,49,59,3,dark society,闇社会,2,,,,
1,50,61,3,delicious season,稼ぎ時,4,,,,
1,51,3,3,far eye,遠い目,1,,,,
1,52,23,3,frank question,気さくな質問,2,,,,
1,53,9,3,hot battle,熱戦,1,,,,
1,54,28,3,light content,,4,,,,
1,55,40,3,narrow thought,狭い考え方,2,,,,
1,56,69,3,pretty animal,かわいい生き物,2,,,,
1,57,15,3,quiet war,沈黙の戦争,4,,,,
1,58,47,3,severe home,,4,,,,
1,59,16,3,shallow injury,浅い傷,2,,,,
1,60,12,3,silent force,静かな力,2,,,,
1,61,35,3,slim branch,細い枝,3,,,,
1,62,66,3,soft atmosphere,柔らかい雰囲気,2,,,,
1,63,48,3,straight heart,真っ直ぐな心,3,,,,
1,64,57,3,sweet judgment,甘い判断,3,,,,
1,65,41,3,tall danger,高い危険,4,,,,
1,66,5,3,warm gift,温かい贈り物,2,,,,
1,67,2,3,weak rain ,弱い雨,1,,,,
1,68,43,3,wide market,広い市場,2,,,,
1,69,13,3,yellow voice,黄色い音色,1,,,,
2,1,35,1,thick fog,濃い霧,1,1,1,TRUE,1
2,2,68,1,stupid idea,馬鹿げた考え,1,1,1,TRUE,1
2,3,51,1,thin lips ,薄い唇,1,1,1,TRUE,1
2,4,34,1,deep love,深い愛,1,1,1,TRUE,1
2,5,24,1,small room,小さい部屋,1,1,1,TRUE,1
2,6,15,1,long sleep,長い眠り,1,1,1,TRUE,1
2,7,37,1,cold tea,冷たいお茶,1,1,1,TRUE,1
2,8,31,1,broken window,壊れた窓,1,1,1,TRUE,1
2,9,55,1,final year,最後の年,1,1,1,TRUE,1
2,10,18,1,front tire,前方のタイヤ,1,1,1,TRUE,1
2,11,48,1,famous person,有名な人物,1,1,1,TRUE,1
2,12,7,1,good news,良い知らせ,1,1,1,TRUE,1
2,13,54,1,economic growth,経済発展,1,1,1,TRUE,1
2,14,58,1,black hole,ブラックホール,1,1,1,TRUE,1
2,15,11,1,near future,近い将来,1,1,1,TRUE,1
2,16,59,1,tragic deaths,悲劇的な死,1,1,1,TRUE,1
2,17,10,1,beautiful woman,きれいな女性,1,1,1,TRUE,1
2,18,65,1,handsome man,かっこいい男性,1,1,1,TRUE,1
2,19,26,1,bitter experience,苦い経験,1,1,1,TRUE,1
2,20,28,1,big eyes,大きな目,1,1,1,TRUE,1
2,21,52,1,high price,高い値段,1,1,1,TRUE,1
2,22,57,1,strong wind,強い風,1,1,1,TRUE,1
2,23,39,1,clean water,きれいな水,1,1,1,TRUE,1
2,24,62,2,bad debt,悪い借金,3,0,0,TRUE,0
2,25,12,2,bare feet,裸足,1,1,1,TRUE,1
2,26,69,2,brief moment,わずかな瞬間,1,1,1,TRUE,1
2,27,36,2,broad daylight,広範囲の日差し,3,0,0,TRUE,0
2,28,5,2,busy road,混雑した道,1,1,1,TRUE,1
2,29,1,2,careful attention,注意深さ,1,1,1,TRUE,1
2,30,25,2,coming months,来月,1,1,1,TRUE,1
2,31,21,2,early bird,早起き,1,0,1,FALSE,1
2,32,33,2,easy decision,簡単な決定,1,1,1,TRUE,1
2,33,38,2,false teeth,誤った歯,4,0,0,TRUE,0
2,34,17,2,flat rate,均一の割合,4,0,1,FALSE,0
2,35,13,2,free speech,自由な演説,2,0,0,TRUE,0
2,36,53,2,full understanding,十分な理解,1,1,1,TRUE,1
2,37,6,2,hard luck,困難な運,4,0,1,FALSE,1
2,38,30,2,low speed,ゆっくりの速さ,1,1,1,TRUE,1
2,39,22,2,lucky guess,運の良い推測,1,0,1,FALSE,0
2,40,3,2,open arms,開かれた腕,4,0,0,TRUE,0
2,41,4,2,poor health,乏しい健康,1,0,1,FALSE,0
2,42,46,2,proud parents,誇り高い両親,1,0,0,TRUE,0
2,43,19,2,quick look,速い見物,3,1,1,TRUE,1
2,44,60,2,sharp rise,鋭い上昇,4,1,1,TRUE,1
2,45,43,2,short notice,短いお知らせ,1,0,0,TRUE,0
2,46,32,2,slow learner,遅い学習者,4,0,1,FALSE,0
2,47,27,3,active personality,活発な個性,1,,,,
2,48,49,3,cheap pay,安い支払い,1,,,,
2,49,23,3,dark society,暗い社会,1,,,,
2,50,40,3,delicious season,美味しい季節,3,,,,
2,51,16,3,far eye,遠い目,3,,,,
2,52,64,3,frank question,忌憚ない質問,1,,,,
2,53,50,3,hot battle,熱い闘い,1,,,,
2,54,8,3,light content,軽い内容,3,,,,
2,55,56,3,narrow thought,視野の狭い考え,3,,,,
2,56,29,3,pretty animal,かわいい動物,1,,,,
2,57,61,3,quiet war,静かな戦争,3,,,,
2,58,63,3,severe home,厳しい家,4,,,,
2,59,44,3,shallow injury,深い傷,4,,,,
2,60,67,3,silent force,音のない力,4,,,,
2,61,45,3,slim branch,無駄のない支店,4,,,,
2,62,66,3,soft atmosphere,柔らかい雰囲気,1,,,,
2,63,47,3,straight heart,真っ直ぐな心,1,,,,
2,64,9,3,sweet judgment,甘い判断,3,,,,
2,65,42,3,tall danger,高い危険性,2,,,,
2,66,20,3,warm gift,温かい贈り物,2,,,,
2,67,41,3,weak rain ,弱い雨,1,,,,
2,68,14,3,wide market,幅広い市場,3,,,,
2,69,2,3,yellow voice,黄色い声援,3,,,,
3,1,23,1,thick fog,濃い霧,2,1,1,TRUE,1
3,2,10,1,stupid idea,愚直な案,3,1,1,TRUE,1
3,3,5,1,thin lips ,薄い唇,1,1,1,TRUE,1
3,4,64,1,deep love,深い愛,1,1,1,TRUE,1
3,5,35,1,small room,小さい部屋,1,1,1,TRUE,1
3,6,4,1,long sleep,長い睡眠,1,1,1,TRUE,1
3,7,25,1,cold tea,冷たいお茶,1,1,1,TRUE,1
3,8,12,1,broken window,壊れた窓,1,1,1,TRUE,1
3,9,24,1,final year,最後の年,1,1,1,TRUE,1
3,10,54,1,front tire,前輪,1,1,1,TRUE,1
3,11,18,1,famous person,有名人,1,1,1,TRUE,1
